title,url,published,document_type,organisations,evaluation_type,method_signal
Evaluation of the Future Borders and Immigration System: Early insights research with skilled workers and employer sponsors,https://www.gov.uk/government/publications/evaluation-of-the-future-borders-and-immigration-system-early-insights-research-with-skilled-workers-and-employer-sponsors,2022-07-15T08:30:00Z,research,Home Office,evidence_synthesis,unstated
Reformed functional skills mathematics: evaluation of difficulty,https://www.gov.uk/government/publications/reformed-functional-skills-mathematics-evaluation-of-difficulty,2022-07-07T13:30:03Z,research,Ofqual,feasibility,unstated
Assistive technology training pilot evaluation,https://www.gov.uk/government/publications/assistive-technology-training-pilot-evaluation,2022-06-30T08:30:00Z,research,Department for Education,process,qualitative
Evaluation of the Coastal Communities Fund,https://www.gov.uk/government/publications/evaluation-of-the-coastal-communities-fund,2022-06-28T09:24:00Z,research,"Department for Levelling Up, Housing and Communities ",impact,unstated
Local major schemes: meta evaluation 2011 to 2016,https://www.gov.uk/government/publications/local-major-schemes-meta-evaluation-2011-to-2016,2022-06-24T08:52:00Z,research,Department for Transport,mixed,unstated
Office for Zero Emission Vehicles grant portfolio: evaluation report,https://www.gov.uk/government/publications/office-for-zero-emission-vehicles-grant-portfolio-evaluation-report,2022-06-14T06:00:06Z,research,Office for Zero Emission Vehicles,economic,unstated
School resource management tools and resources: formative evaluation,https://www.gov.uk/government/publications/school-resource-management-tools-and-resources-formative-evaluation,2022-06-09T23:00:00Z,research,Department for Education,process,qualitative
Apprenticeship evaluation 2021: learner and employer surveys,https://www.gov.uk/government/publications/apprenticeship-evaluation-2021-learner-and-employer-surveys,2022-06-06T12:10:20Z,research,Department for Education,impact,survey_monitoring
AssetPlus outcome evaluation,https://www.gov.uk/government/publications/assetplus-outcome-evaluation,2022-05-31T08:31:32Z,research,Youth Justice Board for England and Wales,impact,unstated
Global Talent visa evaluation,https://www.gov.uk/government/publications/global-talent-visa-evaluation,2022-05-30T08:57:59Z,research,Home Office,process,unstated
An evaluation of the Group Work (JOBS II) trial,https://www.gov.uk/government/publications/an-evaluation-of-the-group-work-jobs-ii-trial,2022-05-17T14:22:52Z,research,Department for Work and Pensions,impact,unstated
"Imperial College London: Evaluating England’s roadmap out of lockdown, 30 March 2021",https://www.gov.uk/government/publications/imperial-college-london-evaluating-englands-roadmap-out-of-lockdown-30-march-2021,2022-05-13T12:30:05Z,research,Scientific Advisory Group for Emergencies,unclear,unstated
Evaluation of the Contracts for Difference scheme,https://www.gov.uk/government/publications/evaluation-of-the-contracts-for-difference-scheme,2022-05-13T10:00:00Z,research,"Department for Business, Energy & Industrial Strategy",economic,unstated
Evaluation of the transitional arrangements for demand-side response: Phase 4,https://www.gov.uk/government/publications/evaluation-of-the-transitional-arrangements-for-demand-side-response-phase-4,2022-05-13T09:59:09Z,research,"Department for Energy Security and Net Zero; Department for Business, Energy & Industrial Strategy",impact,unstated
IPO annual research and evaluation priorities 2022/23,https://www.gov.uk/government/publications/ipo-annual-research-and-evaluation-priorities-202223,2022-04-28T10:04:00Z,research,Intellectual Property Office,feasibility,unstated
UK aerospace supply chain: impact evaluation of the Sharing in Growth (SiG) programme,https://www.gov.uk/government/publications/uk-aerospace-supply-chain-impact-evaluation-of-the-sharing-in-growth-sig-programme,2022-04-25T14:57:45Z,research,"Department for Business and Trade; Department for Business, Energy & Industrial Strategy",impact,unstated
"LSHTM/University of Cambridge: SPI-Kids report – evaluating the increase in transmission for different back-to-back school scenarios, 30 April 2020",https://www.gov.uk/government/publications/lshtm-and-university-of-cambridge-spi-kids-report-evaluating-the-increase-in-transmission-for-different-back-to-back-school-scenarios-30-april-202,2022-04-08T12:30:00Z,research,Scientific Advisory Group for Emergencies,unclear,unstated
Supported housing oversight pilots: independent evaluation,https://www.gov.uk/government/publications/supported-housing-oversight-pilots-independent-evaluation,2022-04-07T09:51:00Z,research,"Department for Levelling Up, Housing and Communities ",mixed,unstated
First of a Kind rail innovation programme: evaluation,https://www.gov.uk/government/publications/first-of-a-kind-rail-innovation-programme-evaluation,2022-04-04T08:30:01Z,research,Department for Transport,economic,unstated
Evaluation of the 2021 holiday activities and food programme,https://www.gov.uk/government/publications/evaluation-of-the-2021-holiday-activities-and-food-programme,2022-04-01T23:15:00Z,independent_report,Department for Education,impact,unstated
Violence reduction unit year ending March 2021 evaluation report,https://www.gov.uk/government/publications/violence-reduction-unit-year-ending-march-2021-evaluation-report,2022-03-31T23:00:00Z,research,Home Office,impact,unstated
Herpes zoster (shingles) immunisation programme 2020 to 2021: evaluation report,https://www.gov.uk/government/publications/herpes-zoster-shingles-immunisation-programme-2020-to-2021-evaluation-reports,2022-03-29T08:30:08Z,research,UK Health Security Agency,impact,unstated
Evaluation of the Community Radio Fund,https://www.gov.uk/government/publications/evaluation-of-the-community-radio-fund,2022-03-21T12:00:06Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",impact,unstated
Returners Grant Fund evaluation,https://www.gov.uk/government/publications/returners-grant-fund-evaluation,2022-03-17T00:00:00Z,research,Government Equalities Office; Women and Equalities Unit,unclear,unstated
Return to Planning programme: evaluation report,https://www.gov.uk/government/publications/return-to-planning-programme-evaluation-report,2022-03-17T00:00:00Z,research,Government Equalities Office; Women and Equalities Unit,unclear,unstated
Return to ICT programme: evaluation report,https://www.gov.uk/government/publications/return-to-ict-programme-evaluation-report,2022-03-17T00:00:00Z,research,Government Equalities Office; Women and Equalities Unit,unclear,unstated
Return to Social Work programme: evaluation report,https://www.gov.uk/government/publications/return-to-social-work-programme-evaluation-report,2022-03-17T00:00:00Z,research,Government Equalities Office; Women and Equalities Unit,unclear,unstated
Extended and more flexible traineeships: a process evaluation,https://www.gov.uk/government/publications/extended-and-more-flexible-traineeships-a-process-evaluation,2022-03-14T16:20:00Z,research,Department for Education,unclear,unstated
Evaluation of the Regulatory Horizons Council: findings from Tranche 1,https://www.gov.uk/government/publications/evaluation-of-the-regulatory-horizons-council-findings-from-tranche-1,2022-03-11T00:00:00Z,research,"Department for Business and Trade; Regulatory Horizons Council; Department for Business, Energy & Industrial Strategy",unclear,unstated
Evaluating additional tax revenue from Making Tax Digital for VAT,https://www.gov.uk/government/publications/evaluating-additional-tax-revenue-from-making-tax-digital-for-vat,2022-03-10T09:30:01Z,research,HM Revenue & Customs,unclear,unstated
HIV pre-exposure prophylaxis (PrEP): monitoring and evaluation,https://www.gov.uk/government/publications/hiv-pre-exposure-prophylaxis-prep-monitoring-and-evaluation,2022-03-09T12:30:01Z,research,UK Health Security Agency,unclear,unstated
Evaluation of regional adoption agencies,https://www.gov.uk/government/publications/evaluation-of-regional-adoption-agencies,2022-03-03T10:30:02Z,research,Department for Education,unclear,unstated
Youth Employment Initiative – Impact Evaluation,https://www.gov.uk/government/publications/youth-employment-initiative-impact-evaluation,2022-03-02T09:30:00Z,research,Department for Work and Pensions; Government Social Research Profession,unclear,unstated
Evaluation of the European Social Fund 2014-2020 Programme in England: qualitative case study research,https://www.gov.uk/government/publications/evaluation-of-the-european-social-fund-2014-2020-programme-in-england-qualitative-case-study-research,2022-03-02T09:30:00Z,research,Department for Work and Pensions,unclear,unstated
Cycle City Ambition Programme Evaluation 2013-2018,https://www.gov.uk/government/publications/cycle-city-ambition-programme-evaluation-2013-2018,2022-02-22T16:57:51Z,research,Evaluation Task Force,unclear,unstated
The Work Programme Evaluation 2020,https://www.gov.uk/government/publications/the-work-programme-evaluation-2020,2022-02-18T16:32:50Z,research,Evaluation Task Force,unclear,unstated
Universal Credit Evaluation 2015-2017,https://www.gov.uk/government/publications/universal-credit-evaluation-2015-2017,2022-02-18T16:32:10Z,research,Evaluation Task Force,unclear,unstated
Global Challenges Research Fund (GCRF): Stage 1a evaluation,https://www.gov.uk/government/publications/global-challenges-research-fund-gcrf-stage-1a-evaluation,2022-02-17T11:00:00Z,research,"Department for Energy Security and Net Zero; Department for Business, Energy & Industrial Strategy",unclear,unstated
Life Chances Fund introductory primary evaluation report,https://www.gov.uk/government/publications/life-chances-fund-introductory-primary-evaluation-report,2022-02-11T09:00:00Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",impact,unstated
Youth COVID-19 Support Fund evaluation,https://www.gov.uk/government/publications/youth-covid-19-support-fund-evaluation,2022-02-01T09:27:59Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",process,unstated
"Supporting Families Programme Evaluation, 2015 to 2020",https://www.gov.uk/government/publications/supporting-families-programme-evaluation-2015-to-2020,2022-01-31T12:58:56Z,research,Evaluation Task Force,impact,unstated
Smart meter enabled thermal efficiency ratings (SMETER) technologies project: technical evaluation,https://www.gov.uk/government/publications/smart-meter-enabled-thermal-efficiency-ratings-smeter-technologies-project-technical-evaluation,2022-01-27T16:56:07Z,research,"Department for Energy Security and Net Zero; Department for Business, Energy & Industrial Strategy",economic,unstated
Evaluation of the VCSE Funding Package - Scoping Report,https://www.gov.uk/government/publications/evaluation-of-the-vcse-funding-package-scoping-report,2022-01-21T09:30:00Z,research,"Department for Culture, Media and Sport; Department for Digital, Culture, Media & Sport",feasibility,unstated
Inclusive Transport Strategy: evaluation baseline and technical reports,https://www.gov.uk/government/publications/inclusive-transport-strategy-evaluation-baseline-and-technical-reports,2022-01-10T09:00:00Z,research,Department for Transport,process,qualitative
